Kanji,On_Reading,Kun_Reading,Meaning,Examples,Components,Koohii_Story_1,Koohii_Story_2,Seen,Update_Date
然,ゼン/ネン,,however; in that case; burn,偶然 (ぐうぜん) coincidence<br>天然 (てんねん) nature<br>当然 (とうぜん) natural; of course<br>突然 (とつぜん) abrupt; sudden; unexpected<br>自然 (しぜん) natural; nature<br>全然 (ぜんぜん) not at all (with neg. verb) | entirely; completely,月: month; moon 犬: dog 火: fire,Flesh of a dog over a cooking fire = 'hotdog'. There are all sorts of things in hot dogs. Believe me/ you don´t want to know what sort of things . Visualize the hotdog curling as it cooks/ to remember the unusual way the flesh primitive curves in this kanji. (tweaked version of ziggr´s. Thanks!).,There are all sorts of things in hot dogs. (I use hot dog for this primitive (meat of a dog over a cooking fire). I swear I can actually see the 月 here as a hot dog/ with its slight curve and grill marks.).,,
焼,ショウ,や・く/や・ける,bake; burn,焼く (やく) to burn | to roast; to grill<br>焼ける (やける) to burn; to be roasted,火: fire 尭: high; far,Ah/ there´s no better way to bake a pizza than an oven fueled by a burning strawman. And if you listen carefully/ there are stifled strawman screams coming from the kitchen.,Too lofty (#2095)尭 a career choice for the strawman becoming a baker. He was fired soon after starting his first shift. Literally!...,,
現,ゲン,あらわ・す/あらわ・れる,actual; existing; present,実現 (じつげん) implementation (e.g. of a system)<br>現す (あらわす) to represent; to stand for; to show; to display<br>現れ (あらわれ) manifestation; materialization; expression<br>現れる (あらわれる) to appear; to become visible<br>現代 (げんだい) nowadays; modern times<br>現在 (げんざい) current; present time<br>現場 (げんば) actual spot; actual site; shop/factory floor<br>現実 (げんじつ) reality; actuality<br>現状 (げんじょう) present condition<br>現象 (げんしょう) phenomenon<br>現金 (げんきん) cash<br>表現 (ひょうげん) expression; notation,玉: jewel; ball 見: see; hopes; chances; idea; opinion; look at; visible,The KING ... can SEE clearly the PRESENT state of affairs in the land. (maybe he hees them in the crystal ball on the left?).,Hey/ I want my money back! This crystal ball is out of order/ I can see the present instead of the future!,,
留,リュウ/ル,と・まる/と・める,fasten; detain; halt,留める (とどめる) to stop; to keep (in position/ in place); to limit<br>留学 (りゅうがく) studying abroad<br>留守 (るす) absence; being away from home<br>留学生 (りゅうがくせい) exchange student,卯: sign of the hare or rabbit; 5-7AM; fourth sign of Chinese zodiac; east 田: rice field; rice paddy,The use of RANSOM NOTE (think of a receipt with a dagger through it on a door) works great with DETAIN. Here the RANSOM NOTE says that the girl has been DETAINED in an undisclosed location. To get her back take the RANSOM to a empty FIELD.,Got a receipt for that dagger/ son? If not/ we´re going to detain you and send you to work in the rice fields.,,
痛,ツウ,いた・い/いた・む/いた・める,damage; hurt; pain,痛み (いたみ) pain; soreness<br>苦痛 (くつう) pain; agony<br>頭痛 (ずつう) headache<br>痛い (いたい) painful; sore,疒: trailing sickness; sick radical (no. 104) 甬: road with walls on both sides,Think of the phrase pain in the xxx. Then think of a pogostick up your xxx. That's painful/ right? The real question is why a pogostick is up your xxx. That's sick/ dude.,When I was feeling sick my mum said I shouldn´t go out to play on my pogo stick until I felt better. Well I wasn´t strong enough to stay up on it and so fell over and have the pain to prove my mum right.,,
的,テキ,まと,target; mark; obvious; adj ending,一時的 (いちじてき) temporary<br>一般的 (いっぱんてき) common; general; for the masses<br>具体的 (ぐたいてき) concrete<br>効果的 (こうかてき) effective; successful<br>目的 (もくてき) goal; objective,日: day; sun; Japan; counter for days 勺: ladle; one tenth of a go; dip,I managed to hit the bull´s eye by throwing my white ladle.,A white/ bound up/ drop in the center is the bull´s eye. (why Heisig had to use 'ladle' instead of the original two primitives that make up 'ladle' I´ll never understand!).,,
確,カク,たし・か/たし・かめる,clear; evident; firm; solid,明確 (めいかく) precise; definite<br>正確 (せいかく) accurate; correct; exact<br>確かめる (たしかめる) to check; to confirm<br>確実 (かくじつ) certainty; reliability<br>確認 (かくにん) confirmation; verification,石: stone 隺: bird flying; high ambition,To assure that no one will get into the Turkey coop/ put a huge rock in the entrance!,You´ve heard the expression 'killing two birds with one stone.' (一石二鳥 is-seki-ni-chou). We´ll/ there´s another one that roughly translates as 'killing an entire coop with a giant boulder. ' That´s the method that hunters use when they want absolute assurance of taking home a bird.,,
示,シ/ジ,しめ・す,show; display; express,掲示 (けいじ) notice; bulletin<br>掲示板 (けいじばん) bulletin board<br>示す (しめす) toshow; to demonstrate,示: altar/ display (radical no. 113),A boy made an altar/ but he´s afraid to show it to God because he thinks it´s two little.,I´ll SHOW you mine if you show me yours!/ she said. I did & she scoffed because it was TWO LITTLE.,,
祭,サイ,まつ・り/まつ・る,ritual; pray; celebrate,お祭 (おまつり) festival<br>祭り (まつり) festival,月: month; moon 示: show; indicate; point out; express; display,A ritual such as a circumcision: a small piece of flesh from the crotch is left on the altar.,There are many famous penis matsuris(festivals) in Japan. The rituals of these festivals involve placing the flesh of the crotch on an altar.,,
積,セキ,つ・む/つ・もる,stack; pile; amass; product of multiplication,積もる (つもる) to pile up; to accumulate<br>積極的 (せっきょくてき) active; proactive; assertive,禾: 2-branch tree radical (no. 115) 責: blame; condemn; censure,On many wheat cereal boxes/ there is a disclaimer stating that 'This package is sold by weight/ not by volume. Some settling of contents may have occurred.' well they only say that because they don´t want to be blamed by people getting really disappointed after they see what a small volume of cereal the box really contains.,The volume of the wheat crop is way down this year! Blame the weather!,,
窓,ソウ,まど,pane; window,窓 (まど) window,穴: hole; aperture; slit; cave; den 厶: I; myself; katakana mu radical (no. 28) 心: heart; mind; spirit; heart radical (no. 61),The top primitive is similar to hole (#1316). A window is a hole (#1316) in your house that you occassionally sit next to while leaning on your ELBOW and gazing out/ a picture of a lonely HEARTedness.,Anna stood inside the house 宀 on her human legs 儿 enjoying some private 厶 time/ looking out the window and communing with the feelings that were in her heart 心. The first five strokes are actually 穴/あな/ 'hole/' introduced later. 窓/まど/ window; 窓口/まどぐち/ ticket window; 車窓/しゃそう/ car window.,,
等,トウ,ひと・しい,etc.; similar; equal,上等 (じょうとう) superior; first-class<br>平等 (びょうどう) impartiality; evenness<br>等しい (ひとしい) equal; similar<br>高等学校 (こうとうがっこう) high school,竹: bamboo 寺: Buddhist temple,The Bamboo Buddhist Temple has bamboo buddhas/ bamboo buildings/ bamboo benches/ bamboo beds/ bamboo bowls/ etc. etc. etc.,So what´d you see in Japan? - 'Bamboo/ temples...etc.'.,,
細,サイ,こま・か/こま・かい/ほそ・い/ほそ・る,thin; narrow; detailed; precise,細かい (こまかい) small; minor<br>細い (ほそい) thin; slender,糸: thread 田: rice field; rice paddy,Dainty women would always rather work with thread than in a field.,Spider-Man used to just be a dainty/ brainy nerd.,,
経,キョウ/ケイ,へ・る,longitude; boundary; elapse; measure; warp,神経 (しんけい) nerve (medical)<br>経営 (けいえい) management; administration<br>経由 (けいゆ) through; by way of; via<br>経済 (けいざい) economics<br>経験 (けいけん) experience,糸: thread 圣: holy; sacred,The word ‘sutra’ literally means a rope or thread that holds things together. Here we see that it is a spool that is holding the threads together.,Spiderman is intriqued by some of the positions of the karma sutra/ but reluctant to take part in an sutra orgy as he´d have to reveal his soiled underwear.,,
結,ケツ,むす・ぶ/ゆ・う/ゆ・わえる,bind; join; fasten; contract,結局 (けっきょく) after all; ultimately<br>結果 (けっか) result; consequence; outcome<br>結論 (けつろん) conclusion<br>結婚 (けっこん) marriage<br>結構 (けっこう) no thank you | quite; fairly,糸: thread 吉: good luck; joy; congratulations,Ok/ here/ you have to think of the phrase 'TIE the knot' / which means a wedding (this kanji is used in the marriage compound 結婚 けっこん ). Now/ at US weddings/ it ends with the couple driving away with cans being dragged behind the car. So here/ think of SPIDERMAN/ who will TIE the knot with Mary Jane. At his wedding/ Spider THREAD attached (or TIED) to SPRAYCANS are being drug behind the limo as they drive off.,Spiderman and a fan have a competition to see who can tie up the most enemies fastest. Spidey´s using his webs and the fan is using an aerosol can of silly string. So far they are tied.,,
給,キュウ,,bestow on; grant; salary; wage,供給 (きょうきゅう) supply; provision<br>支給 (しきゅう) payment; allowance<br>時給 (じきゅう) hourly wage<br>給料 (きゅうりょう) salary; wages,糸: thread 合: fit; suit; join; 0.1,If your threads 糸 don't fit 合 right you're not going to be able to get a job with a decent salary.,Spiderman has so little free time in his schedule that he is unable to fit in a job with a good salary.,,
緑,リョク/ロク,みどり,green,緑 (みどり) green,糸: thread 彔: to carve wood,When you attend a green tea (緑茶=りょくちゃ) ceremony/ you can cherish the threadwork on the kimonos people don/ the broom-like whisk (茶筌 =ちゃせん) you use to grind up your tea/ and the delicious rice cakes you eat with your tea!,In summer/ all of Japan turns green with the green threads that fan out like brooms to later produce grains of rice. An easy image if you have ever looked out the window of the train to see all the summer rice paddies...,,
線,セン,,line; track,線 (せん) line,糸: thread 泉: spring; fountain,This kanji is used for train lines. Spiderman does a hot spring tour of Japan using the train lines. You can see the Spidey costume hanging on the washing line as he enjoys the onsen.,Japan´s train lines are like threads that spring from Tokyo station.,,
練,レン,ね・る,practice; polish; refine,訓練 (くんれん) training; drill<br>練習 (れんしゅう) practice,,,,,
置,チ,お・く,place; put; keep; leave,位置 (いち) place; position<br>装置 (そうち) equipment; device<br>置く (おく) to put; to place,网: net; net or net crown radical (no. 122) 直: straightaway; honesty; frankness; fix; repair,On the JET Programme/ many people have their eye on a placement in Tokyo/ Osaka or another big city/ and write it on their application form. They are usually sent to the countryside straightaway.,Working in retail you learn the placement of any item should be at eye level so it´s seen straightaway.,,
老,ロウ,お・いる/ふ・ける,grow old; old man,老い (おい) old age; old person<br>老人 (ろうじん) old person,老: old man; old age; grow old 匕: spoon; spoon or katakana hi radical (no. 21),An old man/ wondering what it´s like in a grave/ sits in a freshly dug plot. When a gravekeeper mistakes him for dead and begins burying him with soil/ the old man saves himself by flailing his walking stick in the air.,Old man sits in the dirt/ having a stroke.,,
職,ショク,,employment; work,就職 (しゅうしょく) finding employment<br>職 (しょく) job; work; occupation<br>職場 (しょくば) place of work<br>職業 (しょくぎょう) occupation,耳: ear 戠: sword; potter's clay; to gather,Worst post in history: quality checker at the kazoo factory. Imagine the toll on your ears!,Buckingham Palace guards are famous for staying at their post no matter what/ even if you blow a kazoo in their ear!,,
腹,フク,はら,abdomen; stomach,腹 (はら) stomach<br>腹が立つ (はらがたつ) to be angry<br>お腹 (おなか) abdomen; stomach,肉: meat 复: return; repeat; repeatedly,The only body part that doubles over.,Imagine getting punched in the abdomen/ a fairly tender part of flesh/ and instead of doubling forward/ you double back. That would be pretty painful.,,
良,リョウ,よ・い,good; skilled,仲が良い (なかがいい) be friendly with<br>仲良い (なかいい) be friendly with<br>良い (いい/よい) good,艮: northeast (Oriental zodiac); stopping; good radical (no. 138),With a drop of silver/ the forces of good can vanquish the werewolves.,A drop of silver is good/ but a whole bar of it is better!,,
若,ジャク/ニャク,も・しくは/わか・い,young; immature; perhaps; few in number,若者 (わかもの) young person<br>若い (わかい) young; youthful,艸: grass; plants; grass radical (no. 140) 右: right,The young little girl held a cute flower in her right hand.,In Hawaii/ if you wear a flower over your left ear/ it means you are taken. A flower over the right means you are not. The younger you are/ the more likely you are to have a flower over your right ear…,,
草,ソウ,くさ,grass; weeds; herbs; draft; beginning,草 (くさ) grass; weed,艸: grass; plants; grass radical (no. 140) 早: early; fast,Grass grows in earlier than flowers.,This grass is very long. The only flowers you can see are sunflowers – the rest are hidden by the grass.,,
荷,カ,に,baggage; to bear; to shoulder,手荷物 (てにもつ) hand luggage<br>荷物 (にもつ) luggage; package,艸: grass; plants; grass radical (no. 140) 何: what,TSA guard: What´s in the baggage?! It´s just flowers/ I swear!,Your girlfriend arrives at the airport. You give her flowers/ but she brushes you off and says 'here/ carry my BAGGAGE.' Dumbfounded at her rudeness/ you say/ 'what?'.,,
落,ラク,お・ちる/お・とす,fall; drop,落す (おとす) to drop<br>落ちる (おちる) to fall; to drop | to fail,艸: grass; plants; grass radical (no. 140) 洛: Kyoto; the capital,Water each flower or the petals will wither and fall.,[It´s been suggested on the forum (http://forum.koohii.com/viewtopic.php?id=1079) that flower across the full width of the kanji and water on the left below it should have its own keyword; seaweed is a popular choice. See also dilute (#227)/ clan (#1912)/ seaweed (#2035). This story is for the benefit of those using that idea.] Picture a group of Japanese skydivers falling through the sky -- suddenly each one opens/ instead of a parachute/ an enormous sheet of nori seaweed to carry them safely down.,,
術,ジュツ,,skill ;etchnique; art; magic,手術 (しゅじゅつ) surgery<br>芸術 (げいじゅつ) fine arts<br>技術 (ぎじゅつ) technology; engineering | technique; skill<br>美術館 (びじゅつかん) art museum,行: going; journey 朮: a type of millet; a type of herb,Behold the 'Boulev´Art' : a life-size section of a boulevard cast in a huge block of resin. Some call it ... art.,The definition of art is getting more and more loose these days. Why even some resin spilled onto the boulevard is now counted as art! Hmmph!,,
衣,イ,ころも,clothes; garment,浴衣 (ゆかた) yukata (Japanese bathrobe)<br>衣服 (いふく) clothes,亠: kettle lid radical (no. 8),The only garments allowed in this club are top hat and scarf.,The garments most commonly associated with the craft of a magician are the top hat and the magic wand. (It´s a stretch/ but the way I remembered this kanji is through that phrase. This way you can remember it through using primitives we have already learned.).,,
覚,カク,おぼ・える/さ・ます/さ・める,wake up; memorize; remember,感覚 (かんかく) sensation; feeling<br>目が覚める (めがさめる) to awaken<br>目覚まし時計 (めざましどけい) alarm clock<br>覚悟 (かくご) readiness; preparedness<br>覚える (おぼえる) to memorize; to remember,小: small/ insignificant 冖: wa-shaped crown radical (no. 14) 見: see; hopes; chances; idea; opinion; look at; visible,In a schoolhouse in class: 1) you see something on the blackboard/ then 2) you memorize it.,You´ll never memorize all the kanji by seeing them in a school house. You need Heisig and RtK!,,
解,カイ/ゲ,と・かす/と・く/と・ける,answer; explanation; undo; unravel; cancel; key,理解 (りかい) understanding; comprehension<br>見解 (けんかい) opinion; point of view<br>解決 (かいけつ) solution; resolution<br>解釈 (かいしゃく) explanation; interpretation<br>誤解 (ごかい) misunderstanding,角: angle; corner; square; horn; antlers 刀: sword; saber; knife 牛: cow,Did you know that you can unravel a cow? If you stick the dagger in at exactly the correct angle/ the whole cow will just unravel.,Unravel the mystery by determining at what ANGLE the SWORD went into the COW.,,
認,ニン,みと・める,acknowledge;recognize,承認 (しょうにん) approval; consent<br>確認 (かくにん) confirmation; verification<br>認める (みとめる) to recognize; to approve; to allow,言: say 忍: endure; bear; put up with; conceal; secrete; spy; sneak,You are given a speech about some serious mistakes of yours/ and you have to endure the whole thing/ because all you can do is acknowledge.,I never read the 'acknowledgements' section of books or theses/ because they are mostly just boring words that i must endure reading/ before i can get to the interesting part. :).,,
警,ケイ,,caution; warn against; surprise,警告 (けいこく) warning; disclaimer<br>警察 (けいさつ) police; ploliceman<br>警官 (けいかん) police officer,敬: awe; respect; honor; revere 言: say,To admonish is to enforce awe by means of words.,Watch in awe as mom admonishes the rude clerk with words that you´ve never heard her use before.,,
身,シン,み,self; body,中身 (なかみ) contents; interior<br>出身 (しゅっしん) person's origin (e.g. city/ country/ parentage/ school)<br>独身 (どくしん) single; unmarried<br>自身 (じしん) (by) oneself<br>身長 (しんちょう) height (of body),身: body/ body radical (no. 158),Somebody was just looking for you. He had a longnose that reaches down below his mouth/ and a long jaw that sticks out past his nose/ and a scar across his face. (greenapple/16-3-2006) The way to remember that this is somebody rather than someone (#1256) is that the story is full of body descriptions.,Somebody was just looking for you. He had a long nose that reaches down below his mouth/ and a long jaw that sticks out past his nose/ and a scar across his face.,,
追,ツイ,お・う,chase; follow ;pursue,追い付く (おいつく) to catch up (with); to draw level; to get to even<br>追う (おう) to chase; to pursue; to follow,𠂤: None 辶: walk; walking; road radical variant (no. 162),Maestro/ coattails flapping wildly/ is being chased down the road by his fans.,Maestro primative = James Bond. Here he gives chase down the road to the bad guys. I´m thinking of the car chase in ´The Man with the Golden Gun´ - NOT pursue (#539). I think about ´Race N Chase´ (a scalextric type toy)...there were no pigs in ´Race N Chase´/ only cars.,,
過,カ,あやま・ち/あやま・つ/す・ぎる/す・ごす,exceed; overdo; error; mistake,昼過ぎ (ひるすぎ) a little past noon<br>通り過ぎる (とおりすぎる) to go past; to pass by<br>通過 (つうか) passing through (e.g. train skipping a station); passing by<br>過去 (かこ) the past<br>過ぎる (すぎる) to pass by | to be too ～,咼: crooked mouth; evil; dishonest 辶: walk; walking; road radical variant (no. 162),Jaws XII~! Jaws strikes the highway! Man/ they´re really overdoing it now.,In ´American History X´ Edward Norton´s character overdoes it when he makes the dude that tried to steal his car lie face down with his jawbone open over the pavement of the roadway and then stamps on the back of his head. My teeth still tingle when I think of that!,,
達,タツ,,attain; reach,上達 (じょうたつ) improvement (e.g. in skill/ ability); advance<br>発達 (はったつ) development; growth<br>達する (たっする) to reach; to arrive at<br>配達 (はいたつ) delivery; distribution<br>友達 (ともだち) friend; companion,土: soil; earth; ground; Turkey 羊: sheep 辶: walk; walking; road radical variant (no. 162),Dolly (the first cloned sheep ever) grow tired of being a celebrity and escaped from the labs by digging a tunnel. She turned out to be an ACCOMPLISHED escapist/ as she managed to dig a road under the soil. /Imagine Dolly performing a escape/ like those movies where the main character has to escape from jail.,The dirty sheep had come far down this road and had accomplished many things.,,
適,テキ,,capable; qualified; suitable,快適 (かいてき) pleasant; comfortable<br>適切 (てきせつ) pertinent; appropriate<br>適度 (てきど) proper amount; suitable<br>適用 (てきよう) application (e.g. a technology); adoption<br>適当 (てきとう) suitable; appropriate,亠: kettle lid radical (no. 8) 冂: upside-down box radical (no. 13) 古: old 辶: walk; walking; road radical variant (no. 162),Think of the term from televison 'suitable for all audiences' to get the sense of the word. What program could be more suitable for the whole family than the 'antiques road(show)'.,That old thing in your attic might be suitable to be shown on the Antiques Roadshow.,,
量,リョウ,はか・る,amount; quantity; weight; estimate; measure,大量 (たいりょう) large quantity<br>量 (りょう) quantity; volume,旦: daybreak; dawn; morning 里: ri; village; parent's home; league,I did such a quantity of work that when NIGHT BREAK came/ I was asleep on the COMPUTER.,If you find that by nightbreak/ you´re still playing at your computer/ chances are your World of Warcraft character has a high quantity of levels. [thanks to ssmoler] ..... To remember that nightbreak appears ABOVE computer/ think of looking UP from your computer at the window to realize you´ve been playing until nightbreak.,,
鉄,テツ,,iron,鉄 (てつ) iron (Fe)<br>鉄道 (てつどう) railroad; railway<br>地下鉄 (ちかてつ) subway,金: gold 失: lose; error; fault; disadvantage; loss,Iron is a metal that gradually becomes lost due to oxidation and rust.,Compare with pig-iron (#270). In moving from pig-iron to iron/ some of the metal´s maleability is LOST. (The only difference between the two kanji is that IRON has knee-less/ unbending legs/ while PIG-IRON (270) has very supple/ bendable legs.).,,
閉,ヘイ,し・まる/し・める/と・ざす/と・じる,closed; shut,閉じる (とじる) to close; to shut<br>閉まる (しまる) to be shut; to close<br>閉める (しめる) to close; to shut,門: gate; counter for cannons 才: genius; years old; cubic shaku,The gates are too big to be closed by man. Only a genie can. 'Close sesame!'.,Alright none of you GENIUSES could figure out how the door is CLOSED/ so I invented these. They are called the SALOON DOORS. With these/ you don't need to.,,
降,コウ,お・りる/お・ろす/ふ・る,descend; fall; precipitate; surrender,降ろす (おろす) to take down; to lower; to unload<br>降り出す (ふりだす) to start to rain (snow/ etc.)<br>降りる (おりる) to descend (e.g. a mountain) | to get off; to dismount<br>降る (ふる) to precipitate; to fall (e.g. rain),阜: hill; mound; left village radical (no. 170) 夅: to descend; to come down from heaven; to send down,Sunglasses-missing-one-lens is obviously the monocle. The proper/ high-class way to descend The Pinnacle is wearing a monocle with your walking legs splayed to a full gentlemanly stride.,After a cool/ hip businessman angered the executives at The Pinnacle/ they beat him up/ popping out a lens from his sunglasses/ and tossed out the window/ head first/ walking legs second. One executive later commented/ 'It was like he was descending into Hell from Heaven!'.,,
限,ゲン,かぎ・る,limit; restrict,制限 (せいげん) restriction; limit<br>限る (かぎる) to restrict; to limit<br>限界 (げんかい) limit,阜: hill; mound; left village radical (no. 170) 艮: northeast (Oriental zodiac); stopping; good radical (no. 138),He was pushed to the limit at the end of the marathon/ climbing on top of the Acropolis/ but had to settle for the silver medal.,At The Pinnacle/ they limit how much silver you can have. Too much silver will lead to wrongfulness.,,
陽,ヨウ,,in the sun; bright,太陽 (たいよう) sun<br>陽気 (ようき) cheerful; lively,阜: hill; mound; left village radical (no. 170) 昜: open; sun,A kid is perched on a pinnacle with his piggy bank. He uses the coins to catch the sunshine/ and redirect it into people´s eyes/ far below.,The Pinnacle is environmentally friendly. They collect solar power through sunshine on their piggybank shaped solar arrays.,,
階,カイ,,stairs; up and down,～階建て (～かいだて) ～-storied building<br>階段 (かいだん) stairs; staircase<br>～階 (～かい) counter for floors in a building,阜: hill; mound; left village radical (no. 170) 皆: all; everything,All buildings of The Pinnacle are multi-storey. They don´t have much room/ so they have to build up. It sucks when someone presses all the buttons on the elevator! You have to stop at each storey!,Some stupid kid has pushed all the buttons in the elevator. As it stops at all storeys you reach a pinnacle of impatience. Finally you reach your storey/ the last one/ at the pinnacle of the building.,,
際,サイ,きわ,edge; verge; relationship; interval; fate,交際 (こうさい) company; friendship<br>実際 (じっさい) practicality; reality; actual<br>～際（さい） (～さい) on the occasion of ～<br>国際 (こくさい) international,阜: hill; mound; left village radical (no. 170) 祭: ritual; offer prayers; celebrate; deify; enshrine; worship,Many rituals are practiced every day (blessing before meals/ evening prayer/ etc.) Only the peak rituals (wedding/ Bar Mitzvah/ etc.) qualify to be called an occasion.,On occasian/ rituals are held at the very tip of The Pinnacle.,,
雑,ザツ/ゾウ,,mixed; disordered,混雑 (こんざつ) crowding; confusion; disorder<br>複雑 (ふくざつ) complex; complicated<br>雑誌 (ざっし) journal; magazine; periodical,九: nine 木: tree; wood 隹: bird; old bird radical (no. 172),Newscast: 'Among today´s miscellaneous stories/ we have a report on a baseball team that was chased up a tree by a turkey. Stay tuned for this and more!'.,On the left we have baseball and wood/ which obviously means a baseball bat. Instead of balls/ there are miscellaneous other objects you may hit with it. While beating people may be one favorite use/ in this case we see it used for making turkey mash.,,
難,ナン,かた・い/むずか・しい,difficult; tough; misfortune; sorrow; fight; rebuke,困難 (こんなん) difficulty; hardship<br>難しい (むずかしい) difficult; hard; troublesome,,,,,
雲,ウン,くも,cloud,雲 (くも) cloud,雨: rain 云: say,Every rising cloud is a potential rain cloud. (Thanks astridtops).,Every cloud is a potential rain cloud.,,
静,ジョウ/セイ,しず・か/しず・まる/しず・める,quiet,冷静 (れいせい) calmness; composure<br>静か (しずか) quiet; silent,青: blue; green 争: contend; dispute; argue,When someone you know who is normally talkative goes quiet/ it´s usually a sign that they are contending with the blues.,Don't confuse with silence (#240)/ something achieved through action. On the other hand/ quiet refers to a personal quality of not speaking out. Members of Blue-man group jump into the wrestling ring of contenders for tag-team wrestling. Though the other contenders are screaming/ the blue men never say anything - they are a very quiet bunch/ that Blue-man group. Primitive order: blue man group's first and main characteristic is being blue and quiet; only later did they decide to become wrestling contenders.,,
非,ヒ,,poor; error; blame; non-,非常 (ひじょう) emergency | extraordinary; unusual<br>是非 (ぜひ) certainly; definitely; without fail<br>非常に (ひじょうに) very; extremely,非: wrong/ wrong radical (no. 175),This looks like a pictogram of 3 fingers from each hand trying to open up a crack in a wall. That´s an un-believable way to escape from prison OR the UN- have a prison in the Hague.,People in the jail cell are un-friendly/ un-comely/ and un-cooperative.,,
並,ヘイ,なみ/なら・びに/なら・ぶ/なら・べる,line up; line; both; identical; ordinary,並ぶ (ならぶ) to line up; to stand in a line<br>並べる (ならべる) to line up; to arrange in a line,八: eight; eight radical (no. 12) 一: one; one radical (no.1),This is a simplification of 竝/ a ideogram of two people standing in a row.,Hint : as a primitive I use the image of a rowing boat. In a rowing boat people sit in rows/ but also side-by-side (another meaning of the kanji)/ working together (yet another meaning of this kanji). Note : there will also be a kanji for 'rowboat' coming at frame 1876. The rowing boat is associated with the sport/ and is a primitive/ while the kanji for 'rowboat' has a generic meaning of 'a small boat'. In any case/ the kanji for 'rowboat' will not appear as a primitive in the book.,,
丸,ガン,まる/まる・い/まる・める,circle; make circular; entirely; perfectly,丸 (まる) circle<br>丸い (まるい) round,九: nine 丶: dot; tick or dot radical (no. 3),Nine plus a drop rounds it off to ten!,Watch out for plump (#120). Here Heisig could have added a 't' and we would have had a much better keyword : rotund. Rotund is more specific than 'round' which begs for confusion with circle (#1811). A dictionary search on 'fat' or 'round' doesn´t yield this kanji/ but 'rotund' does! Primitive suggestion: the Laughing Buddha is often depicted as a rotund/ smiling bald man in robes with a largely exposed pot belly stomach (symbolizing plenitude).,,
任,ニン,まか・す/まか・せる,entrust; shoulder; endure; work; duty,任せる (まかせる) to entrust (e.g. a task) to another; to leave to<br>責任 (せきにん) responsibility,人: person 壬: 9th calendar sign,It is always Mr. T´s responsibility to be the porter and carry around everyone´s luggage because he´s so strong.,In pregnancy (#507)/ the woman was the porter for the first nine months. Now/ as a new father/ Mr.T is assuming all the RESPONSIBILITIES that comes with it. Can´t you just see him here as the new porter/ wearing a harness with a his little dude (who already has a little matching mohawk)?,,
似,ジ,に・る,imitate; resemble,似合う (にあう) to suit; to match<br>真似 (まね) imitating; copying<br>似る (にる) to resemble; to look like; to be similar,人: person 以: by means of; because; in view of; compared with,Mr. T finds that living by means of dragging a plow is similar to slavery.,A Mr T impersonator is becoming similarer (more like) by means of plastic surgery. The process is painful and his face is all bound up in bandages as the surgery heals.,,
余,ヨ,あま・す/あま・る,remainder; surplus,余り (あまり/あんまり) remainder; balance; left over<br>余分 (よぶん) extra; excess<br>余裕 (よゆう) surplus; leeway; flexibility,人: person 小: little; small,You hang an umbrella upside-down on a hook of the scales and fill it with little potatoes. No luck: it weights too much.,This is the kanji for 「あまり Amari」/ which means too little in negative sentences and too much in the rest (always with a negative sense). I take the liberty of using the symbol '>' (more than/ another meaning!!) as the umbrella component/ and using two (#2) and little (#105) for the potato primitive. So/ this kanji either means 'two much' (more than 2) or 'two little'. (thanks/ Virtua_leaf and Thunderball!).,,
供,キョウ/ク,そな・える/とも,offer; sacrifice; supply,供給 (きょうきゅう) supply; provision<br>子供 (こども) child; children,人: person 共: together; both; neither; all; and; alike; with,You have to SUBMIT all required documents together/ in person!,When people are together and form a group/ they suddenly submit their personal responsibility to the mob mentality.,,
価,カ,あたい,price; value,価値 (かち) value; worth<br>価格 (かかく) price; value<br>物価 (ぶっか) prices (in general/ of commodities)<br>評価 (ひょうか) assessment; evaluation<br>高価 (こうか) high price,人: person 襾: cover; place on top of; west radical variant (no. 146),In the West/ people have no value. Only money is important.,What might it mean for a person in the old west to be of value? Their face is on a 'Wanted!' poster/ of course. Imagine the reward...,,
個,コ,,individual,個人 (こじん) individual; personal<br>～個 (～こ) counter for small objects,人: person 固: harden; set; clot; curdle,This keyword gave me trouble/ I could write the kanji from memory but could not remember the keyword the other way around. In such case the dictionary definition can be helpful : 'Middle English/ single/ indivisible'. Here we have Mr. T. who is so hardened (all the body workout he´s had) that he became in-dividual/ that is/ in-divisible. 'I pity da foo who can be divided into smaller units.'.,Mr. T insists that people be individual. He appears on television/ saying/ 'Being an individual is hard! But you gotta do it! Harden yourself/ and be individual!'.,,
冊,サク/サツ,,tome; volume; counter for books,～冊 (～さつ) counter for bound objects (ex. Books),冂: upside-down box radical (no. 13) 廾: twenty; 20; twenty or letter H radical (no. 55),Pictograph. I think of that Harry Potter spell book that had to be bound shut coz it wanted to eat you.,冊 さつ 1: counter for books A heavy scrapbook so full that flowers are sticking out. Only if a scrapbook is that full/ it can be called a heavy book.,,
